IdEstado/Estado
1;New York
2;Texas
3;California
4;Illinois
5;Pennsylvania
6;Nevada
7;Colorado
8;Washington
9;Florida
10;Minnesota
11;Montana
12;Tennessee
13;Nebraska
14;Alabama
15;Maine
16;Alaska
17;Hawaii
18;Wyoming
19;Virginia
20;Michigan
21;Missouri
22;Utah
23;Oregon
24;Louisiana
25;Idaho
26;Arizona
27;New Mexico
28;Georgia
29;South Carolina
30;North Carolina
31;Ohio
32;Kentucky
33;Mississippi
34;Arkansas
35;Oklahoma
36;Kansas
37;South Dakota
38;North Dakota
39;Iowa
40;Wisconsin
41;Indiana
42;West Virginia
43;Maryland
44;Delaware
45;New Jersey
46;Connecticut
47;Rhode Island
48;Massachusetts
49;Vermont
50;New Hampshire
